Room_type;person_n;bedroom_n;bed_n;Price
Entire home/apt;2;2;2;$120,00 
Entire home/apt;4;3;3;$325,00 
Private room;4;2;2;$85,00 
Entire home/apt;2;1;1;$130,00 
Entire home/apt;4;2;2;$350,00 
Entire home/apt;12;6;12;$409,00 
Private room;2;1;1;$105,00 
Entire home/apt;4;1;2;$140,00 
Entire home/apt;2;1;2;$199,00 
Private room;2;1;1;$65,00 
Entire home/apt;2;1;1;$85,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;4;3;3;$495,00 
Entire home/apt;3;1;2;$103,00 
Entire home/apt;2;2;1;$106,00 
Private room;3;1;2;$100,00 
Entire home/apt;4;2;2;$414,00 
Entire home/apt;2;1;1;$136,00 
Entire home/apt;6;3;3;$175,00 
Entire home/apt;2;1;1;$153,00 
Entire home/apt;4;1;2;$240,00 
Entire home/apt;2;1;1;$80,00 
Private room;1;1;1;$82,00 
Private room;4;1;4;$115,00 
Private room;2;;1;$81,00 
Entire home/apt;4;2;2;$157,00 
Entire home/apt;3;1;1;$199,00 
Entire home/apt;2;1;1;$109,00 
Entire home/apt;2;1;1;$268,00 
Hotel room;2;1;1;$96,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;2;1;1;$328,00 
Private room;2;1;1;$55,00 
Private room;2;1;1;$74,00 
Entire home/apt;2;1;1;$131,00 
Private room;2;1;1;$140,00 
Entire home/apt;2;1;1;$128,00 
Entire home/apt;4;4;2;$246,00 
Entire home/apt;4;2;2;$159,00 
Private room;2;1;1;$123,00 
Entire home/apt;4;2;1;$236,00 
Entire home/apt;2;1;1;$175,00 
Entire home/apt;4;2;3;$307,00 
Entire home/apt;7;5;5;$425,00 
Private room;2;1;1;$84,00 
Entire home/apt;4;3;3;$175,00 
Entire home/apt;4;2;4;$168,00 
Private room;4;1;2;$62,00 
Private room;2;2;3;$126,00 
Private room;2;1;1;$123,00 
Entire home/apt;2;;1;$105,00 
Entire home/apt;2;1;1;$200,00 
Private room;2;1;1;$53,00 
Private room;2;1;1;$96,00 
Private room;2;1;1;$75,00 
Entire home/apt;4;2;3;$225,00 
Private room;2;1;;$62,00 
Entire home/apt;2;1;1;$95,00 
Entire home/apt;4;3;3;$185,00 
Entire home/apt;2;1;1;$129,00 
Entire home/apt;3;2;3;$78,00 
Entire home/apt;2;1;;$70,00 
Entire home/apt;4;1;3;$290,00 
Entire home/apt;4;3;5;$129,00 
Entire home/apt;4;2;2;$200,00 
Entire home/apt;3;1;1;$108,00 
Entire home/apt;4;1;2;$110,00 
Entire home/apt;4;2;4;$150,00 
Entire home/apt;2;1;1;$135,00 
Entire home/apt;14;6;14;$493,00 
Entire home/apt;3;2;3;$109,00 
Entire home/apt;4;3;2;$200,00 
Private room;2;1;1;$80,00 
Entire home/apt;3;1;2;$500,00 
Entire home/apt;2;1;1;$150,00 
Private room;2;1;1;$69,00 
Hotel room;2;1;1;$85,00 
Entire home/apt;4;3;5;$280,00 
Entire home/apt;2;1;1;$105,00 
Private room;4;1;4;$155,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;4;3;3;$300,00 
Entire home/apt;6;3;6;$225,00 
Entire home/apt;2;1;1;$128,00 
Private room;2;1;1;$90,00 
Entire home/apt;4;3;3;$145,00 
Entire home/apt;2;1;1;$205,00 
Private room;2;1;2;$96,00 
Private room;2;1;1;$89,00 
Entire home/apt;2;1;1;$225,00 
Entire home/apt;4;1;4;$300,00 
Entire home/apt;4;2;2;$295,00 
Entire home/apt;16;5;16;$729,00 
Entire home/apt;4;3;;$164,00 
Entire home/apt;4;2;2;$96,00 
Entire home/apt;2;;1;$120,00 
