bedrooms,beds,Price,n_person
2.0,2.0,159.0,4
1.0,1.0,123.0,2
2.0,1.0,236.0,4
1.0,1.0,175.0,2
2.0,3.0,307.0,4
5.0,5.0,425.0,7
1.0,1.0,84.0,2
3.0,3.0,175.0,4
2.0,4.0,168.0,4
1.0,2.0,62.0,4
2.0,3.0,126.0,2
1.0,1.0,123.0,2
,1.0,105.0,2
1.0,1.0,200.0,2
1.0,1.0,53.0,2
1.0,1.0,96.0,2
1.0,1.0,75.0,2
2.0,3.0,225.0,4
1.0,,62.0,2
1.0,1.0,95.0,2
3.0,3.0,185.0,4
1.0,1.0,129.0,2
2.0,3.0,78.0,3
1.0,,70.0,2
1.0,3.0,290.0,4
3.0,5.0,129.0,4
2.0,2.0,200.0,4
1.0,1.0,108.0,3
1.0,2.0,110.0,4
2.0,4.0,150.0,4
1.0,1.0,135.0,2
6.0,14.0,493.0,14
2.0,3.0,109.0,3
3.0,2.0,200.0,4
1.0,1.0,80.0,2
1.0,2.0,500.0,3
1.0,1.0,150.0,2
1.0,1.0,69.0,2
1.0,1.0,85.0,2
3.0,5.0,280.0,4
1.0,1.0,105.0,2
1.0,4.0,155.0,4
1.0,1.0,125.0,2
3.0,3.0,300.0,4
3.0,6.0,225.0,6
1.0,1.0,128.0,2
1.0,1.0,90.0,2
3.0,3.0,145.0,4
1.0,1.0,205.0,2
1.0,2.0,96.0,2
1.0,1.0,89.0,2
1.0,1.0,225.0,2
1.0,4.0,300.0,4
2.0,2.0,295.0,4
5.0,16.0,729.0,16
3.0,,164.0,4
2.0,2.0,96.0,4
,1.0,120.0,2
1.0,2.0,65.0,2
,,60.0,3
,2.0,83.0,2
1.0,1.0,68.0,2
1.0,2.0,81.0,2
1.0,1.0,199.0,2
1.0,1.0,89.0,2
3.0,,90.0,4
2.0,1.0,120.0,2
2.0,2.0,124.0,3
1.0,1.0,85.0,2
2.0,2.0,165.0,4
1.0,2.0,176.0,4
3.0,,361.0,4
1.0,2.0,60.0,2
1.0,1.0,156.0,2
1.0,1.0,185.0,2
3.0,4.0,175.0,4
1.0,1.0,248.0,2
1.0,3.0,158.0,4
1.0,1.0,36.0,1
2.0,1.0,75.0,3
2.0,2.0,140.0,3
3.0,5.0,268.0,6
2.0,2.0,375.0,4
2.0,2.0,100.0,4
1.0,2.0,250.0,2
1.0,2.0,100.0,4
2.0,1.0,190.0,3
1.0,1.0,64.0,2
2.0,2.0,216.0,3
1.0,4.0,120.0,4
1.0,1.0,155.0,2
2.0,2.0,175.0,4
1.0,1.0,76.0,2
2.0,2.0,189.0,3
1.0,1.0,156.0,2
1.0,3.0,123.0,4
1.0,1.0,117.0,2
2.0,3.0,175.0,4
1.0,1.0,46.0,2
1.0,2.0,35.0,1
3.0,3.0,175.0,4
3.0,3.0,150.0,4
3.0,4.0,250.0,4
2.0,2.0,167.0,4
1.0,1.0,147.0,3
2.0,2.0,259.0,4
,2.0,280.0,4
1.0,1.0,160.0,2
2.0,3.0,129.0,4
1.0,1.0,181.0,2
4.0,3.0,169.0,4
3.0,3.0,207.0,4
2.0,2.0,233.0,4
2.0,2.0,185.0,4
1.0,2.0,75.0,4
1.0,1.0,50.0,2
4.0,4.0,320.0,4
1.0,3.0,189.0,4
1.0,2.0,100.0,2
1.0,1.0,125.0,2
2.0,2.0,857.0,4
2.0,2.0,95.0,3
1.0,1.0,40.0,2
1.0,1.0,80.0,2
1.0,1.0,132.0,2
1.0,1.0,95.0,2
1.0,2.0,105.0,3
2.0,2.0,169.0,4
5.0,6.0,525.0,6
1.0,1.0,151.0,2
3.0,4.0,130.0,4
2.0,1.0,150.0,3
3.0,3.0,319.0,4
3.0,,275.0,4
1.0,1.0,75.0,2
2.0,1.0,175.0,4
1.0,1.0,100.0,2
